time,d1_comms,d2_comms,d3_comms,archive_size
15.87940001487732,0,0,0,408
15.910607814788818,0,0,0,408
15.942121028900146,0,0,0,408
15.97343897819519,0,1,0,408
16.004528045654297,0,1,0,459
16.036192178726196,0,0,0,459
16.06746482849121,0,0,0,459
16.098742723464966,0,0,0,459
16.130415439605713,0,0,0,459
16.161775588989258,0,0,0,459
16.193023204803467,0,0,0,459
16.22432827949524,0,0,0,459
16.256147861480713,0,0,0,459
16.28751230239868,0,0,0,459
16.319300174713135,0,0,0,459
16.350857734680176,0,0,0,459
16.382118225097656,0,0,0,459
16.413400888442993,0,0,0,459
16.445284366607666,0,0,0,459
16.476680278778076,0,0,0,459
16.507932901382446,0,0,0,459
16.539695978164673,0,0,0,459
16.570967197418213,0,0,0,459
16.602240085601807,0,0,0,459
16.63392686843872,0,0,0,459
16.665247440338135,0,0,0,459
16.696499824523926,0,0,1,459
16.72773051261902,0,0,1,459
16.759076356887817,0,0,1,459
16.790252208709717,0,0,1,510
16.821622848510742,0,0,0,510
16.85351800918579,0,0,0,510
16.88477063179016,0,0,0,510
16.916034936904907,0,0,0,510
16.948009490966797,0,0,0,510
16.97969698905945,0,0,0,510
17.01103925704956,0,0,0,510
17.042798042297363,0,0,0,510
17.07407307624817,0,0,0,510
17.10531187057495,0,0,0,510
17.13703465461731,0,0,0,510
17.168351411819458,0,0,0,510
17.199565887451172,0,0,0,510
17.231340646743774,0,0,0,510
17.262728691101074,0,0,0,510
17.29401397705078,0,0,0,510
17.32518744468689,0,0,0,510
17.35718536376953,0,0,0,510
17.38840126991272,0,0,0,510
17.41973376274109,0,0,0,510
17.451239109039307,0,0,0,510
17.482481002807617,0,0,0,510
17.513731956481934,0,0,0,510
17.54496479034424,0,0,0,510
17.576210975646973,0,0,0,510
17.607487440109253,0,0,0,510
17.638839960098267,0,0,0,510
17.67016339302063,0,0,0,510
17.70141625404358,0,0,0,510
17.73281979560852,0,0,0,510
17.764251708984375,0,0,0,510
17.795382976531982,0,0,0,510
17.826605796813965,0,0,0,510
17.85851216316223,0,0,0,510
